,Time (ms),V_shunt_1,V_s1 (µV),V_bus_1,V_b1 (mV),I_s1 (µA),P_1 (mW),V_shunt_2,V_s2 (µV),V_bus_2,V_b2 (mV),I_s2 (µA),P_2 (mW)
150,1350,Vs1(uV),390,Vb1(mV),4988,3900.0,19.4532,Vs2(uV),440,Vb2(mV),4988,4400.0,21.9472
151,1359,Vs1(uV),410,Vb1(mV),4988,4100.0,20.4508,Vs2(uV),420,Vb2(mV),4988,4200.0,20.9496
152,1368,Vs1(uV),410,Vb1(mV),4984,4100.0,20.4344,Vs2(uV),420,Vb2(mV),4988,4200.0,20.9496
153,1377,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),450,Vb2(mV),4988,4500.0,22.446
154,1386,Vs1(uV),410,Vb1(mV),4988,4100.0,20.4508,Vs2(uV),450,Vb2(mV),4992,4500.0,22.464
155,1395,Vs1(uV),410,Vb1(mV),4984,4100.0,20.4344,Vs2(uV),410,Vb2(mV),4988,4100.0,20.4508
156,1404,Vs1(uV),400,Vb1(mV),4984,4000.0,19.936,Vs2(uV),410,Vb2(mV),4988,4100.0,20.4508
157,1413,Vs1(uV),370,Vb1(mV),4992,3700.0,18.4704,Vs2(uV),400,Vb2(mV),4988,4000.0,19.952
158,1422,Vs1(uV),410,Vb1(mV),4984,4100.0,20.4344,Vs2(uV),420,Vb2(mV),4988,4200.0,20.9496
159,1431,Vs1(uV),370,Vb1(mV),4988,3700.0,18.4556,Vs2(uV),410,Vb2(mV),4992,4100.0,20.4672
160,1440,Vs1(uV),370,Vb1(mV),4988,3700.0,18.4556,Vs2(uV),420,Vb2(mV),4992,4200.0,20.9664
161,1449,Vs1(uV),420,Vb1(mV),4988,4200.0,20.9496,Vs2(uV),400,Vb2(mV),4988,4000.0,19.952
162,1457,Vs1(uV),410,Vb1(mV),4984,4100.0,20.4344,Vs2(uV),420,Vb2(mV),4988,4200.0,20.9496
163,1466,Vs1(uV),410,Vb1(mV),4988,4100.0,20.4508,Vs2(uV),420,Vb2(mV),4988,4200.0,20.9496
164,1475,Vs1(uV),360,Vb1(mV),4988,3600.0,17.9568,Vs2(uV),410,Vb2(mV),4992,4100.0,20.4672
165,1484,Vs1(uV),380,Vb1(mV),4988,3800.0,18.9544,Vs2(uV),440,Vb2(mV),4992,4400.0,21.9648
166,1493,Vs1(uV),370,Vb1(mV),4988,3700.0,18.4556,Vs2(uV),420,Vb2(mV),4988,4200.0,20.9496
167,1501,Vs1(uV),390,Vb1(mV),4984,3900.0,19.4376,Vs2(uV),460,Vb2(mV),4988,4600.0,22.9448
168,1510,Vs1(uV),370,Vb1(mV),4988,3700.0,18.4556,Vs2(uV),430,Vb2(mV),4988,4300.0,21.4484
169,1519,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),440,Vb2(mV),4988,4400.0,21.9472
170,1528,Vs1(uV),410,Vb1(mV),4984,4100.0,20.4344,Vs2(uV),410,Vb2(mV),4988,4100.0,20.4508
171,1537,Vs1(uV),440,Vb1(mV),4988,4400.0,21.9472,Vs2(uV),410,Vb2(mV),4988,4100.0,20.4508
172,1546,Vs1(uV),430,Vb1(mV),4988,4300.0,21.4484,Vs2(uV),410,Vb2(mV),4988,4100.0,20.4508
173,1555,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),420,Vb2(mV),4988,4200.0,20.9496
174,1564,Vs1(uV),410,Vb1(mV),4988,4100.0,20.4508,Vs2(uV),420,Vb2(mV),4988,4200.0,20.9496
175,1572,Vs1(uV),360,Vb1(mV),4988,3600.0,17.9568,Vs2(uV),440,Vb2(mV),4988,4400.0,21.9472
176,1581,Vs1(uV),380,Vb1(mV),4988,3800.0,18.9544,Vs2(uV),410,Vb2(mV),4988,4100.0,20.4508
177,1590,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),450,Vb2(mV),4988,4500.0,22.446
178,1599,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),410,Vb2(mV),4988,4100.0,20.4508
179,1608,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),390,Vb2(mV),4988,3900.0,19.4532
180,1617,Vs1(uV),390,Vb1(mV),4984,3900.0,19.4376,Vs2(uV),450,Vb2(mV),4988,4500.0,22.446
181,1626,Vs1(uV),380,Vb1(mV),4984,3800.0,18.9392,Vs2(uV),420,Vb2(mV),4988,4200.0,20.9496
182,1635,Vs1(uV),380,Vb1(mV),4984,3800.0,18.9392,Vs2(uV),420,Vb2(mV),4992,4200.0,20.9664
183,1644,Vs1(uV),380,Vb1(mV),4988,3800.0,18.9544,Vs2(uV),440,Vb2(mV),4988,4400.0,21.9472
184,1653,Vs1(uV),380,Vb1(mV),4988,3800.0,18.9544,Vs2(uV),420,Vb2(mV),4988,4200.0,20.9496
185,1662,Vs1(uV),400,Vb1(mV),4984,4000.0,19.936,Vs2(uV),400,Vb2(mV),4988,4000.0,19.952
186,1671,Vs1(uV),410,Vb1(mV),4988,4100.0,20.4508,Vs2(uV),440,Vb2(mV),4988,4400.0,21.9472
187,1679,Vs1(uV),400,Vb1(mV),4984,4000.0,19.936,Vs2(uV),450,Vb2(mV),4988,4500.0,22.446
188,1688,Vs1(uV),430,Vb1(mV),4988,4300.0,21.4484,Vs2(uV),430,Vb2(mV),4988,4300.0,21.4484
189,1697,Vs1(uV),370,Vb1(mV),4988,3700.0,18.4556,Vs2(uV),430,Vb2(mV),4992,4300.0,21.4656
190,1706,Vs1(uV),400,Vb1(mV),4984,4000.0,19.936,Vs2(uV),460,Vb2(mV),4988,4600.0,22.9448
191,1715,Vs1(uV),380,Vb1(mV),4984,3800.0,18.9392,Vs2(uV),420,Vb2(mV),4988,4200.0,20.9496
192,1724,Vs1(uV),410,Vb1(mV),4988,4100.0,20.4508,Vs2(uV),420,Vb2(mV),4988,4200.0,20.9496
193,1733,Vs1(uV),360,Vb1(mV),4988,3600.0,17.9568,Vs2(uV),440,Vb2(mV),4988,4400.0,21.9472
194,1742,Vs1(uV),410,Vb1(mV),4988,4100.0,20.4508,Vs2(uV),420,Vb2(mV),4988,4200.0,20.9496
195,1751,Vs1(uV),400,Vb1(mV),4984,4000.0,19.936,Vs2(uV),410,Vb2(mV),4988,4100.0,20.4508
196,1760,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),440,Vb2(mV),4988,4400.0,21.9472
197,1769,Vs1(uV),380,Vb1(mV),4988,3800.0,18.9544,Vs2(uV),430,Vb2(mV),4988,4300.0,21.4484
198,1778,Vs1(uV),380,Vb1(mV),4988,3800.0,18.9544,Vs2(uV),430,Vb2(mV),4992,4300.0,21.4656
199,1787,Vs1(uV),370,Vb1(mV),4988,3700.0,18.4556,Vs2(uV),420,Vb2(mV),4988,4200.0,20.9496
200,1796,Vs1(uV),390,Vb1(mV),4988,3900.0,19.4532,Vs2(uV),420,Vb2(mV),4988,4200.0,20.9496
201,1804,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),420,Vb2(mV),4988,4200.0,20.9496
202,1813,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),420,Vb2(mV),4988,4200.0,20.9496
203,1822,Vs1(uV),410,Vb1(mV),4984,4100.0,20.4344,Vs2(uV),440,Vb2(mV),4988,4400.0,21.9472
204,1831,Vs1(uV),380,Vb1(mV),4984,3800.0,18.9392,Vs2(uV),440,Vb2(mV),4988,4400.0,21.9472
