,Time (ms),V_shunt_1,V_s1 (µV),V_bus_1,V_b1 (mV),I_s1 (µA),P_1 (mW),V_shunt_2,V_s2 (µV),V_bus_2,V_b2 (mV),I_s2 (µA),P_2 (mW)
136,1224,Vs1(uV),190,Vb1(mV),4988,1900.0,9.4772,Vs2(uV),220,Vb2(mV),4992,2200.0,10.9824
137,1233,Vs1(uV),180,Vb1(mV),4992,1800.0,8.9856,Vs2(uV),220,Vb2(mV),4992,2200.0,10.9824
138,1242,Vs1(uV),180,Vb1(mV),4988,1800.0,8.9784,Vs2(uV),230,Vb2(mV),4988,2300.0,11.4724
139,1251,Vs1(uV),180,Vb1(mV),4992,1800.0,8.9856,Vs2(uV),240,Vb2(mV),4992,2400.0,11.9808
140,1260,Vs1(uV),190,Vb1(mV),4992,1900.0,9.4848,Vs2(uV),210,Vb2(mV),4992,2100.0,10.4832
141,1268,Vs1(uV),190,Vb1(mV),4988,1900.0,9.4772,Vs2(uV),230,Vb2(mV),4992,2300.0,11.4816
142,1277,Vs1(uV),160,Vb1(mV),4988,1600.0,7.9808,Vs2(uV),230,Vb2(mV),4992,2300.0,11.4816
143,1286,Vs1(uV),170,Vb1(mV),4992,1700.0,8.4864,Vs2(uV),250,Vb2(mV),4992,2500.0,12.48
144,1296,Vs1(uV),180,Vb1(mV),4988,1800.0,8.9784,Vs2(uV),200,Vb2(mV),4992,2000.0,9.984
145,1304,Vs1(uV),190,Vb1(mV),4988,1900.0,9.4772,Vs2(uV),210,Vb2(mV),4988,2100.0,10.4748
146,1313,Vs1(uV),180,Vb1(mV),4992,1800.0,8.9856,Vs2(uV),230,Vb2(mV),4992,2300.0,11.4816
147,1322,Vs1(uV),170,Vb1(mV),4988,1700.0,8.4796,Vs2(uV),240,Vb2(mV),4996,2400.0,11.9904
148,1331,Vs1(uV),150,Vb1(mV),4992,1500.0,7.488,Vs2(uV),220,Vb2(mV),4992,2200.0,10.9824
149,1340,Vs1(uV),190,Vb1(mV),4992,1900.0,9.4848,Vs2(uV),200,Vb2(mV),4992,2000.0,9.984
150,1350,Vs1(uV),170,Vb1(mV),4988,1700.0,8.4796,Vs2(uV),210,Vb2(mV),4988,2100.0,10.4748
151,1358,Vs1(uV),190,Vb1(mV),4988,1900.0,9.4772,Vs2(uV),240,Vb2(mV),4992,2400.0,11.9808
152,1367,Vs1(uV),170,Vb1(mV),4992,1700.0,8.4864,Vs2(uV),220,Vb2(mV),4992,2200.0,10.9824
153,1376,Vs1(uV),160,Vb1(mV),4988,1600.0,7.9808,Vs2(uV),230,Vb2(mV),4992,2300.0,11.4816
154,1385,Vs1(uV),180,Vb1(mV),4988,1800.0,8.9784,Vs2(uV),200,Vb2(mV),4988,2000.0,9.976
155,1393,Vs1(uV),170,Vb1(mV),4988,1700.0,8.4796,Vs2(uV),210,Vb2(mV),4992,2100.0,10.4832
156,1402,Vs1(uV),180,Vb1(mV),4988,1800.0,8.9784,Vs2(uV),230,Vb2(mV),4992,2300.0,11.4816
157,1411,Vs1(uV),200,Vb1(mV),4992,2000.0,9.984,Vs2(uV),200,Vb2(mV),4992,2000.0,9.984
158,1420,Vs1(uV),180,Vb1(mV),4988,1800.0,8.9784,Vs2(uV),230,Vb2(mV),4992,2300.0,11.4816
159,1429,Vs1(uV),180,Vb1(mV),4992,1800.0,8.9856,Vs2(uV),240,Vb2(mV),4992,2400.0,11.9808
160,1438,Vs1(uV),150,Vb1(mV),4988,1500.0,7.482,Vs2(uV),240,Vb2(mV),4988,2400.0,11.9712
161,1447,Vs1(uV),190,Vb1(mV),4988,1900.0,9.4772,Vs2(uV),220,Vb2(mV),4992,2200.0,10.9824
162,1456,Vs1(uV),170,Vb1(mV),4992,1700.0,8.4864,Vs2(uV),220,Vb2(mV),4988,2200.0,10.9736
163,1465,Vs1(uV),180,Vb1(mV),4992,1800.0,8.9856,Vs2(uV),220,Vb2(mV),4992,2200.0,10.9824
164,1474,Vs1(uV),150,Vb1(mV),4992,1500.0,7.488,Vs2(uV),210,Vb2(mV),4992,2100.0,10.4832
165,1483,Vs1(uV),180,Vb1(mV),4988,1800.0,8.9784,Vs2(uV),220,Vb2(mV),4988,2200.0,10.9736
166,1490,Vs1(uV),180,Vb1(mV),4988,1800.0,8.9784,Vs2(uV),200,Vb2(mV),4992,2000.0,9.984
167,1500,Vs1(uV),200,Vb1(mV),4988,2000.0,9.976,Vs2(uV),200,Vb2(mV),4992,2000.0,9.984
168,1508,Vs1(uV),180,Vb1(mV),4992,1800.0,8.9856,Vs2(uV),220,Vb2(mV),4992,2200.0,10.9824
169,1518,Vs1(uV),180,Vb1(mV),4992,1800.0,8.9856,Vs2(uV),210,Vb2(mV),4988,2100.0,10.4748
170,1526,Vs1(uV),140,Vb1(mV),4988,1400.0,6.9832,Vs2(uV),250,Vb2(mV),4992,2500.0,12.48
171,1535,Vs1(uV),160,Vb1(mV),4988,1600.0,7.9808,Vs2(uV),190,Vb2(mV),4992,1900.0,9.4848
172,1544,Vs1(uV),190,Vb1(mV),4992,1900.0,9.4848,Vs2(uV),220,Vb2(mV),4992,2200.0,10.9824
173,1553,Vs1(uV),170,Vb1(mV),4992,1700.0,8.4864,Vs2(uV),210,Vb2(mV),4992,2100.0,10.4832
174,1562,Vs1(uV),200,Vb1(mV),4988,2000.0,9.976,Vs2(uV),220,Vb2(mV),4988,2200.0,10.9736
175,1571,Vs1(uV),160,Vb1(mV),4992,1600.0,7.9872,Vs2(uV),200,Vb2(mV),4992,2000.0,9.984
176,1580,Vs1(uV),190,Vb1(mV),4992,1900.0,9.4848,Vs2(uV),230,Vb2(mV),4992,2300.0,11.4816
177,1589,Vs1(uV),180,Vb1(mV),4988,1800.0,8.9784,Vs2(uV),210,Vb2(mV),4992,2100.0,10.4832
178,1597,Vs1(uV),160,Vb1(mV),4988,1600.0,7.9808,Vs2(uV),220,Vb2(mV),4996,2200.0,10.9912
179,1606,Vs1(uV),190,Vb1(mV),4988,1900.0,9.4772,Vs2(uV),210,Vb2(mV),4988,2100.0,10.4748
180,1615,Vs1(uV),200,Vb1(mV),4988,2000.0,9.976,Vs2(uV),220,Vb2(mV),4988,2200.0,10.9736
181,1624,Vs1(uV),160,Vb1(mV),4988,1600.0,7.9808,Vs2(uV),230,Vb2(mV),4992,2300.0,11.4816
182,1633,Vs1(uV),200,Vb1(mV),4992,2000.0,9.984,Vs2(uV),200,Vb2(mV),4992,2000.0,9.984
183,1642,Vs1(uV),180,Vb1(mV),4988,1800.0,8.9784,Vs2(uV),230,Vb2(mV),4992,2300.0,11.4816
184,1651,Vs1(uV),200,Vb1(mV),4992,2000.0,9.984,Vs2(uV),210,Vb2(mV),4992,2100.0,10.4832
185,1660,Vs1(uV),170,Vb1(mV),4992,1700.0,8.4864,Vs2(uV),220,Vb2(mV),4992,2200.0,10.9824
186,1669,Vs1(uV),170,Vb1(mV),4988,1700.0,8.4796,Vs2(uV),240,Vb2(mV),4992,2400.0,11.9808
187,1678,Vs1(uV),180,Vb1(mV),4988,1800.0,8.9784,Vs2(uV),240,Vb2(mV),4996,2400.0,11.9904
188,1687,Vs1(uV),170,Vb1(mV),4992,1700.0,8.4864,Vs2(uV),200,Vb2(mV),4988,2000.0,9.976
189,1696,Vs1(uV),170,Vb1(mV),4992,1700.0,8.4864,Vs2(uV),240,Vb2(mV),4992,2400.0,11.9808
190,1705,Vs1(uV),150,Vb1(mV),4988,1500.0,7.482,Vs2(uV),200,Vb2(mV),4992,2000.0,9.984
191,1713,Vs1(uV),190,Vb1(mV),4992,1900.0,9.4848,Vs2(uV),210,Vb2(mV),4992,2100.0,10.4832
192,1722,Vs1(uV),180,Vb1(mV),4988,1800.0,8.9784,Vs2(uV),220,Vb2(mV),4992,2200.0,10.9824
193,1731,Vs1(uV),170,Vb1(mV),4988,1700.0,8.4796,Vs2(uV),200,Vb2(mV),4992,2000.0,9.984
194,1740,Vs1(uV),210,Vb1(mV),4988,2100.0,10.4748,Vs2(uV),200,Vb2(mV),4992,2000.0,9.984
195,1749,Vs1(uV),190,Vb1(mV),4992,1900.0,9.4848,Vs2(uV),240,Vb2(mV),4992,2400.0,11.9808
196,1758,Vs1(uV),200,Vb1(mV),4988,2000.0,9.976,Vs2(uV),210,Vb2(mV),4992,2100.0,10.4832
197,1767,Vs1(uV),190,Vb1(mV),4992,1900.0,9.4848,Vs2(uV),210,Vb2(mV),4996,2100.0,10.4916
198,1776,Vs1(uV),180,Vb1(mV),4992,1800.0,8.9856,Vs2(uV),200,Vb2(mV),4992,2000.0,9.984
199,1785,Vs1(uV),170,Vb1(mV),4988,1700.0,8.4796,Vs2(uV),220,Vb2(mV),4992,2200.0,10.9824
200,1794,Vs1(uV),180,Vb1(mV),4992,1800.0,8.9856,Vs2(uV),210,Vb2(mV),4988,2100.0,10.4748
201,1803,Vs1(uV),200,Vb1(mV),4992,2000.0,9.984,Vs2(uV),230,Vb2(mV),4992,2300.0,11.4816
202,1812,Vs1(uV),190,Vb1(mV),4988,1900.0,9.4772,Vs2(uV),230,Vb2(mV),4992,2300.0,11.4816
203,1820,Vs1(uV),190,Vb1(mV),4988,1900.0,9.4772,Vs2(uV),230,Vb2(mV),4992,2300.0,11.4816
204,1829,Vs1(uV),190,Vb1(mV),4992,1900.0,9.4848,Vs2(uV),210,Vb2(mV),4992,2100.0,10.4832
