62247538.4 , 1 , 79 , 199707 , 170501 , 0
62496871.0 , 2 , 82 , 63812 , 70709 , 0
62509837.6 , 1 , 79 , 199691 , 170494 , 0
62759171.2 , 2 , 82 , 63842 , 70724 , 0
62772136.6 , 1 , 79 , 199684 , 170494 , 0
63022469.8 , 2 , 82 , 63781 , 70701 , 0
63034435.5 , 1 , 79 , 199714 , 170494 , 0
63283767.7 , 2 , 82 , 63766 , 70693 , 0
63296732.8 , 1 , 79 , 199699 , 170494 , 0
63546065.0 , 2 , 82 , 63819 , 70678 , 0
63562024.4 , 1 , 79 , 199699 , 170501 , 0
63808365.5 , 2 , 82 , 63789 , 70693 , 0
63824324.1 , 1 , 79 , 199790 , 170509 , 0
64071663.8 , 2 , 82 , 63812 , 70686 , 0
64086627.3 , 1 , 79 , 199691 , 170494 , 0
64331964.2 , 2 , 82 , 63796 , 70686 , 0
64348920.1 , 1 , 79 , 199707 , 170501 , 0
64598252.4 , 2 , 82 , 63812 , 70693 , 0
64611218.1 , 1 , 79 , 199691 , 170494 , 0
64860551.7 , 2 , 82 , 63812 , 70686 , 0
64873520.1 , 1 , 79 , 199699 , 170501 , 0
65122853.4 , 2 , 82 , 63819 , 70693 , 0
65135814.7 , 1 , 79 , 199691 , 170494 , 0
65385147.5 , 2 , 82 , 63819 , 70693 , 0
65398114.0 , 1 , 79 , 199661 , 170501 , 0
65647446.1 , 2 , 82 , 63796 , 70693 , 0
65660412.6 , 1 , 79 , 199676 , 170509 , 0
65909747.3 , 2 , 82 , 63804 , 70724 , 0
65924706.9 , 1 , 79 , 199661 , 170509 , 0
